Platform,Month,Trend,Trend Type,Music,Video Style,Theme,Part of Song,Video length in S,Music Genre
Instagram Reels,2022/07,mha4bii,Lip Sync (music),"1, 2, 3 - Sofia Reyes feat. Jason Derulo, & De La Ghetto (Sped Up) (2018)",Selfie Video,Lifestyle,Bridge,7,Latin Urbano
Instagram Reels,2022/07,Angel Eyes,Montage,Angel Eyes - ABBA (1979),Photo/Video Compilation,Lifestyle,Beginning,29,Pop
Instagram Reels,2022/07,MASSIVE,Montage (Template),MASSIVE - Drake (2022),Photo/Video Compilation,Lifestyle,Interlude,29,Hip-Hop/Rap
Instagram Reels,2022/07,Vegas,"Montage, Vlog",Vegas - Doja Cat (2022),Photo/Video Compilation,Lifestyle,"Chorus, Verse 1",29,Hip-Hop/Rap
Instagram Reels,2022/07,Lucid Dreams Instrumental,Montage,Lucid Dreams Instrumental - Amarildo Notolli (originally by Juicewrld) (2018),Photo/Video Compilation,Lifestyle,Instrumental,10,Hip-Hop/Rap
Instagram Reels,2022/07,A Beautiful View ,Montage,Bittersweet Symphony - The Verve (1997),Photo/Video Compilation,Travel,Prelude,7,Indie
Instagram Reels,2022/07,The Shade,"Montage, Vlog",THE SHADE - Rex Orange County (2022),Photo/Video Compilation,Lifestyle,Chorus,29,Indie
Instagram Reels,2022/07,"Before, After",Transition,N/A,Photo/Video Compilation,Lifestyle,N/A,3,N/A
Instagram Reels,2022/07,Ianasher,"Montage, Vlog","Stereo Love - Edward Maya, Vika Jigulina (2009); We Found Love - Rihanna (2011)",Photo/Video Compilation,Lifestyle,Mashup,,Dance/Electronic
Instagram Reels,2022/08,Wind,Montage (Template),Wind - Prm. (2020),Photo/Video Compilation,Lifestyle,Beginning,29,Classical
Instagram Reels,2022/08,One Step at a Time,Act Out + Text on Screen + Montage,One Step At A Time - Jordin Sparks (2007),Selfie Video ,Lifestyle,Beginning,29,Pop
Instagram Reels,2022/08,Move Your Feet,Montage (Template),Move Your Feet - Autsin Millz (2022),Photo/Video Compilation,Lifestyle,Instrumental,12,Dance/Electronic
Instagram Reels,2022/08,How Deep Is Your Love Mashup,Montage,How deep is your love? - DJ Replica (2022),Photo/Video Compilation,Lifestyle,Mashup,25,Dance/Electronic
Instagram Reels,2022/08,i jus flipped a switch,Montage,Remix by journalbymoon (Nonstop - Drake ft. Quavo (2018)),Photo/Video Compilation,Lifestyle,Mashup,7,Dance/Electronic
Instagram Reels,2022/08,SLIPPING THROUGH MY FINGERS,Montage,Slipping Through my Fingers - ABBA (1981) Cover by Ethan Hodges (2022),Photo/Video Compilation,Lifestyle,Bridge,29,Pop
Instagram Reels,2022/08,Body Language Sickmix,"Montage, Vlog",Body Language Sickmix - Sickick (2022),Photo/Video Compilation,Lifestyle,Instrumental,54,Dance/Electronic
Instagram Reels,2022/08,Leave Before You Love Me,Montage (Template),Leave Before You Love Me - Marshmello ft. Jonas Brothers (2021),Photo/Video Compilation,"Lifestyle, Travel",Pre-chorus,29,Pop
Instagram Reels,2022/08,Hold Me Closer,Montage,Hold Me Closer - Elton John ft. Britney Spears (2021),Photo/Video Compilation,Lifestyle,Chorus,29,Pop
Instagram Reels,2022/08,Overcome,Montage,Overcome - Skott (2022),Photo/Video Compilation,Lifestyle,Beginning,29,Pop
Instagram Reels,2022/06,YetToCome,Hashtag,Yet To Come (The Most Beautiful Moment) - BTS (2022),Promotional,Entertainment,Verse (instrumental),13,Pop
Instagram Reels,2022/07,#MyBTStory,Hashtag + Challenge,BTS,Promotional,Entertainment,Verse,15,Pop
Instagram Reels,2022/06,#nayeon ,Dance,POP! - Nayeon (2022),Promotional,Entertainment,Chorus,13,Pop
Instagram Reels,,#nct127,Hashtag + Challenge,2 Baddies - NCT 127 (2022),Promotional,Entertainment,Chorus,,
Instagram Reels,2022/07,#SparklingChallenge,Dance + Challenge,Sparkling - Chung Ha (2022),Promotional,Entertainment,Chorus,14,Pop
Instagram Reels,2022/07,#BEFIRST,Dance,Scream - Be:First (2022),Promotional,Entertainment,Chorus,15,Pop
Instagram Reels,2022/08,#PinkVenomChallenge,Dance + Challenge,Pink Venom - BLACKPINK (2022),Promotional,Entertainment,Verse (instrumental),10,Pop
Instagram Reels,2022/08,Outfit Transitions,Transition,WYAT (Where You At) - SB19 (2022),Promotional,Entertainment,Chorus,18,Pop
Snapchat,2022/11,Veterans Day,Text on Screen,,Photo/Video Compilation,Seasonal,N/A,30,N/A
Snapchat,2022/11,Election Day,"Transition, Vlog",,Promotional,Political,N/A,52,N/A
Snapchat,2022/11,111122,Text on Screen,,Selfie Video ,Lifestyle,N/A,30,N/A
Snapchat,2022/11,Black Panther,Hashtag,,Promotional,Entertainment,N/A,22,"R&B,hip-hop"
Snapchat,2022/11,Blood Moon,"Transition, Montage",,Photo/Video Compilation,"Nature, Lifestyle",N/A,30,N/A
Snapchat,2022/11,Football,"Montage, Vlog","Hayya Hayya (Better Together) - AISHA, Davido, and Trinidad Cardona (2022)",Promotional,Sports,Verse,52,R&B
Snapchat,2022/10,Gym,"Montage, Vlog",Ballin - A Boogie wit da Hoodie (2022),Photo/Video Compilation,Lifestyle,Chorus,30,R&B
Snapchat,2022/11,Friendsgiving,Hashtag + Challenge,,Selfie Video ,"Seasonal, Lifestyle",Chorus,22,N/A
Snapchat,2022/10,Winter Fashion,"Montage, Vlog",,Promotional,"Seasonal, Lifestyle",N/A,22,N/A
Snapchat,2022/05,Cinco de Mayo,Dance + Vlog,Oye Como Va - Santana (1970),Photo/Video Compilation,"Seasonal, Lifestyle",Chorus,22,Rock
